time_s,workload_intensity,gpu_power_w,ambient_temp_c,fan_speed_pct,gpu_temp_c,throttle_flag
156,0.4028,269.54,24.98,55.29,32.06,0
157,0.4462,313.5,25.12,62.87,32.32,0
158,0.4916,350.01,25.23,63.56,32.61,0
159,0.5335,397.13,25.12,66.89,32.86,0
160,0.5678,383.08,25.16,66.33,33.23,0
161,0.5921,413.28,25.16,71.56,33.5,0
162,0.6062,413.76,25.13,68.32,33.85,0
163,0.6113,428.2,25.17,66.28,34.21,0
164,0.6108,410.31,25.29,69.49,34.57,0
165,0.6103,441.78,25.16,66.68,34.87,0
166,0.6145,448.32,25.06,66.67,35.21,0
167,0.6238,422.16,25.16,73.04,35.58,0
168,0.6354,452.68,25.28,72.03,35.93,0
169,0.6466,472.77,25.13,68.32,36.31,0
170,0.6567,435.78,25.2,70.71,36.68,0
171,0.6652,490.21,25.17,77.24,37.05,0
172,0.6703,494.61,25.23,70.63,37.42,0
173,0.671,474.09,25.04,75.68,37.81,0
174,0.6697,483.56,25.03,73.91,38.18,0
175,0.6702,461.49,25.04,74.33,38.5,0
176,0.6729,461.92,24.95,69.63,38.84,0
177,0.6737,474.19,25.2,71.23,39.2,0
178,0.6676,456.08,25.22,70.78,39.58,0
179,0.6545,471.38,25.19,74.22,39.94,0
180,0.64,440.47,25.39,69.86,40.36,0
181,0.6308,447.98,25.38,69.55,40.64,0
182,0.6292,429.82,25.34,67.36,40.95,0
183,0.6326,449.21,25.23,72.36,41.23,0
184,0.637,447.74,25.25,72.98,41.51,0
185,0.6399,440.25,25.02,66.65,41.82,0
186,0.6403,442.98,24.95,70.52,42.08,0
187,0.6376,433.21,25.08,72.9,42.3,0
188,0.6319,446.1,25.16,68.37,42.52,0
189,0.6255,449.33,25.07,69.55,42.76,0
190,0.6212,440.26,25.36,68.16,43.02,0
191,0.6197,428.76,25.03,69.07,43.29,0
192,0.6189,428.55,25.09,68.79,43.55,0
193,0.6168,434.33,25.42,71.17,43.82,0
194,0.6142,422.19,25.2,70.2,44.12,0
195,0.613,433.43,25.14,72.41,44.33,0
196,0.6144,434.27,25.24,68.52,44.57,0
197,0.6188,440.12,25.23,67.56,44.81,0
198,0.6256,431,25.06,69.89,45.06,0
199,0.6332,447.87,25.14,69.16,45.26,0
200,0.6399,437.94,25.2,73.6,45.52,0
201,0.6451,440.94,25.13,69.09,45.75,0
202,0.6496,430.34,25.28,70.21,45.99,0
203,0.6531,466.2,25.25,72.22,46.21,0
204,0.6539,458.47,25.1,72.25,46.47,0
205,0.6509,445.57,25.16,72.17,46.75,0
206,0.6457,456.32,25.22,67.91,46.94,0
207,0.6414,449.44,25.15,71.05,47.19,0
208,0.6395,445.96,25.2,72.58,47.44,0
209,0.6391,463.98,25.09,68.71,47.65,0
210,0.6385,439.38,25.32,71.06,47.85,0
211,0.6382,448.3,25.26,72.35,48.04,0
212,0.6384,434.79,25.19,73.44,48.2,0
213,0.6373,448.75,25.17,70.38,48.38,0
214,0.6325,462.79,25.3,72,48.58,0
215,0.6242,441.46,25.19,68.48,48.78,0
216,0.6169,429.25,25.25,70.13,48.99,0
217,0.6159,432.24,25.12,71.6,49.21,0
218,0.6232,430.34,25.19,71.37,49.42,0
219,0.6357,444.69,25.18,65.61,49.59,0
220,0.648,441.21,25.18,71.17,49.78,0
221,0.6562,460.82,25,72.45,49.92,0
222,0.6593,463.67,25.11,72.82,50.13,0
223,0.6579,456.49,25.18,68.64,50.33,0
224,0.6523,468.25,25.25,69.92,50.5,0
225,0.6439,437.35,25.09,71.99,50.71,0
226,0.6358,456.43,25.21,73.89,50.87,0
227,0.6306,442.42,25.29,71.6,51.11,0
228,0.6284,436.34,25.3,68.35,51.24,0
229,0.6273,440.78,25.11,70.83,51.41,0
230,0.626,448.69,25.14,69.93,51.54,0
231,0.6249,432.41,25.23,71.08,51.69,0
232,0.6255,449.2,25.35,72.04,51.87,0
233,0.6289,447.8,25.28,69.93,52.04,0
234,0.6338,427.9,25.22,73.6,52.27,0
235,0.6383,457.42,25.18,71.29,52.38,0
236,0.6418,431.11,25.34,70.12,52.57,0
237,0.6453,445.86,25.23,73.14,52.71,0
238,0.6485,445.41,25.31,76.25,52.92,0
239,0.65,455.11,25.15,69.44,53.04,0
240,0.6493,456.07,25.23,74.52,53.17,0
241,0.6479,451.85,25.3,72.2,53.31,0
242,0.6469,441.17,25.23,72.8,53.53,0
243,0.6463,461.87,25.2,70.01,53.67,0
244,0.6455,440.04,24.95,70.27,53.84,0
245,0.6434,455.1,25.23,71.02,53.98,0
246,0.6386,469.36,25.24,72.31,54.1,0
247,0.6302,454.3,25.3,67.7,54.2,0
248,0.6202,409.31,25.13,67.71,54.38,0
249,0.613,423.21,25.28,71.89,54.43,0
250,0.6113,429.36,25.26,68.15,54.52,0
251,0.6135,423.83,25.22,70.92,54.68,0
252,0.6162,432.47,25.29,71.59,54.73,0
253,0.6183,428.69,25.34,70.65,54.84,0
254,0.62,441.21,25.24,69.52,54.94,0
255,0.6212,428.83,25.16,68.83,55.04,0
256,0.6204,430.42,25.21,72.28,55.12,0
257,0.618,451.76,25.35,68.78,55.22,0
258,0.6162,426.97,25.09,70.46,55.31,0
259,0.6166,413.35,25.26,67.64,55.43,0
260,0.619,424.25,25.21,74.59,55.52,0
261,0.6227,446.71,25.17,67.83,55.59,0
262,0.6268,436.77,25.18,68.97,55.75,0
263,0.6291,430.8,25.3,69.45,55.85,0
264,0.6269,416.41,25.03,70.76,55.94,0
265,0.6198,424.63,25.35,69.15,56.02,0
266,0.6116,423.28,25.27,69.8,56.12,0
267,0.6072,429.36,25.48,70.01,56.2,0
268,0.609,439.03,25.21,68.06,56.35,0
269,0.6158,429.62,25.24,69.7,56.45,0
270,0.6236,421.56,25.33,70.07,56.54,0
271,0.6291,447.95,25.37,70.87,56.6,0
272,0.6315,439.76,25.24,71.17,56.73,0
273,0.6314,441.54,25.13,68.95,56.86,0
274,0.6296,440.97,25.29,71.69,56.95,0
275,0.6276,442.5,25.29,71.62,57.08,0
276,0.6279,421.68,25.14,65.47,57.15,0
277,0.6315,431.7,25.4,72.13,57.19,0
278,0.6359,437.56,25.2,70.47,57.22,0
279,0.6368,444.53,25.23,67.59,57.32,0
280,0.6338,430.26,25.42,68.23,57.4,0
281,0.6312,426.69,25.41,70.19,57.49,0
282,0.6334,453.87,25.3,73.03,57.56,0
283,0.6399,450.26,25.4,71.14,57.67,0
284,0.6462,452.74,25.34,68.29,57.78,0
285,0.6487,454.61,25.08,74.61,57.92,0
286,0.6476,451.37,25.34,72.47,58,0
287,0.6444,472.51,25.34,76.13,58.14,0
288,0.6404,444.15,25.31,69.71,58.26,0
289,0.6365,454.37,25.4,70.74,58.31,0
290,0.6341,439.85,25.23,70.94,58.4,0
291,0.6345,446.28,25.14,71.46,58.45,0
292,0.6379,439.58,25.18,73.98,58.51,0
293,0.6443,450.79,25.31,69.39,58.64,0
294,0.6532,450.71,25.13,72.51,58.74,0
295,0.6622,470.61,25.48,73.47,58.84,0
296,0.6672,465.76,25.34,75.2,58.95,0
297,0.6651,464.9,25.14,73.03,59.09,0
298,0.6579,451.45,25.17,72.94,59.17,0
299,0.6514,460.88,25.24,71.76,59.3,0
300,0.6504,442.83,25.23,71.17,59.42,0
301,0.6554,475.84,25.19,72.71,59.54,0
302,0.6635,468.71,25.01,73.43,59.6,0
303,0.6717,484.52,25.16,74.16,59.77,0
304,0.6785,489.26,25.18,77.97,59.84,0
305,0.6833,478.66,25.56,78.04,59.97,0
306,0.6859,486,25.27,72.09,60.09,0
307,0.6843,469.8,25.37,75.08,60.22,0
308,0.6759,481.69,25.25,72.67,60.26,0
309,0.6598,469.11,25.23,71.98,60.4,0
310,0.6399,456.39,25.25,71.35,60.45,0
311,0.6235,435.66,25.19,71.89,60.56,0
312,0.6165,433.59,25.29,67.63,60.55,0
313,0.6199,441.53,25.11,72.04,60.59,0
314,0.6291,425.56,25.29,68.61,60.62,0
315,0.6381,449.24,25.19,71.87,60.61,0
316,0.6437,454.83,25.21,70.86,60.67,0
317,0.6462,468.64,25.32,72.15,60.72,0
318,0.6464,442.5,25.27,70.16,60.74,0
319,0.6445,445.3,25.44,69.45,60.85,0
320,0.6413,453.95,25.41,69.02,60.85,0
321,0.6395,450.53,25.08,73.77,60.93,0
322,0.6404,449.46,25.42,73.06,60.98,0
323,0.6416,430.6,25.46,70.96,61.07,0
324,0.6399,456.33,25.21,68.83,61.12,0
325,0.6351,445.99,25.3,69.32,61.19,0
326,0.6303,452.96,25.26,68.13,61.27,0
327,0.6285,426.15,25.16,71.3,61.31,0
328,0.63,441.3,25.33,72.5,61.35,0
329,0.6337,445.78,25.07,69.8,61.38,0
330,0.6389,427.04,25.34,68.76,61.43,0
331,0.645,459.97,25.13,71.94,61.42,0
332,0.6499,466.58,25.32,72.21,61.44,0
333,0.6511,463.2,25.33,72.31,61.48,0
334,0.6486,455.05,25.2,70.99,61.53,0
335,0.6458,446.25,25.1,68.68,61.54,0
336,0.6465,465.97,25.35,71.03,61.61,0
337,0.6515,478.17,25.08,73.23,61.69,0
338,0.6593,457.97,25.34,73.51,61.78,0
339,0.6681,473.23,25.36,71.24,61.79,0
340,0.6769,462.79,25.24,75.6,61.83,0
341,0.6844,469.53,25.32,72.14,61.87,0
342,0.6892,475.33,25.27,74.99,61.93,0
343,0.6894,483.08,25.36,71.23,62.02,0
344,0.685,480.6,25.32,68.22,62.14,0
345,0.678,477.61,25.32,71.56,62.21,0
346,0.6712,498.38,25.28,74.31,62.23,0
347,0.6663,472.83,25.27,73.36,62.33,0
348,0.6626,468.92,25.29,70.22,62.36,0
349,0.6586,454.1,25.2,74.74,62.44,0
350,0.6536,477.61,25.34,71.14,62.45,0
351,0.6482,455.34,25.3,69.48,62.53,0
352,0.6432,445.31,25.4,68.94,62.53,0
353,0.6389,443.38,25.23,68.75,62.53,0
354,0.6359,434.83,25.37,72.18,62.57,0
355,0.6353,436.57,25.43,70.03,62.58,0
356,0.638,426.79,25.18,70.06,62.58,0
357,0.6436,438.46,25.34,68.26,62.59,0
358,0.65,454.64,25.4,74.9,62.64,0
359,0.6558,483.33,25.35,74.73,62.66,0
360,0.6613,448.68,25.3,72.38,62.72,0
361,0.6675,462.06,25.28,72.82,62.75,0
362,0.6738,468.77,25.34,68.4,62.78,0
363,0.6775,479.45,25.39,71.91,62.81,0
364,0.6758,469.81,25.5,77.52,62.88,0
365,0.6682,467.41,25.43,71.54,62.9,0
366,0.6572,455.25,25.04,74.08,62.97,0
367,0.6469,457.6,25.33,71.84,63.01,0
368,0.641,465.97,25.21,69.73,63.02,0
369,0.6408,447.91,25.42,67.55,63.09,0
370,0.6446,457.94,25.27,71.27,63.12,0
371,0.649,452.06,25.35,72.09,63.16,0
372,0.6503,452.91,25.28,75.35,63.18,0
373,0.6466,446.51,25.28,71.03,63.19,0
374,0.6403,452.87,25.3,72.69,63.22,0
375,0.637,446.96,25.25,68.35,63.18,0
376,0.6404,459.21,25.27,71.74,63.22,0
377,0.6479,456.34,25.21,69.73,63.24,0
378,0.6531,474.5,25.34,72.03,63.25,0
379,0.6513,468.29,25.28,75.86,63.35,0
380,0.6424,458.5,25.32,73.81,63.33,0
381,0.6301,436.46,25.16,71.55,63.34,0
382,0.6201,433.8,25.45,71.75,63.4,0
383,0.618,441.53,25.21,69.23,63.37,0
384,0.6253,439.63,25.43,68.46,63.43,0
385,0.6373,453.95,25.26,70.85,63.52,0
386,0.6446,456.31,25.29,71.32,63.57,0
387,0.6404,446.68,25.56,69.15,63.59,0
388,0.6264,449.24,25.28,71.36,63.62,0
389,0.6113,430.55,25.34,66.72,63.61,0
390,0.6045,403.36,25.38,68.94,63.59,0
391,0.6099,406.02,25.62,64.22,63.57,0
392,0.6254,454.77,25.28,72.33,63.51,0
393,0.6456,446.91,25.23,70.87,63.56,0
394,0.6644,482.55,25.5,70.87,63.58,0
395,0.6773,464.38,25.33,76.05,63.63,0
396,0.6824,480.57,25.29,73.98,63.68,0
397,0.6808,472.2,25.32,74.68,63.72,0
398,0.6747,469.93,25.33,74.98,63.77,0
399,0.6671,462.1,25.43,72.5,63.8,0
400,0.6605,453.48,25.43,71.56,63.86,0
401,0.6566,451.4,25.42,71.16,63.9,0
402,0.6551,463.63,25.41,71.03,63.98,0
403,0.6545,467.2,25.25,69.56,64.01,0
404,0.6546,467.74,25.49,71.77,64.04,0
405,0.6574,446.88,25.46,71.42,64.07,0
406,0.665,456.79,25.41,72.91,64.06,0
407,0.6759,471.58,25.36,71.72,64.09,0
408,0.6841,471.64,25.31,76.32,64.18,0
409,0.6831,480.1,25.24,74.57,64.2,0
410,0.6711,451.27,25.25,74.69,64.27,0
411,0.6528,462.58,25.29,74.62,64.35,0
412,0.6366,457.46,25.15,71.47,64.37,0
413,0.6286,448.21,25.37,70.58,64.4,0
414,0.6286,443.14,25.42,72.89,64.4,0
415,0.6315,454.84,25.32,73.49,64.41,0
416,0.6334,443.31,25.37,72.03,64.42,0
417,0.635,440.04,25.37,70.17,64.36,0
418,0.6388,450.3,25.4,70.36,64.37,0
419,0.6449,447.83,25.29,70.63,64.43,0
420,0.6506,446.5,25.38,72.14,64.45,0
421,0.652,475.58,25.52,70.59,64.41,0
422,0.6471,458.1,25.6,71.68,64.46,0
423,0.636,449.66,25.39,72.74,64.47,0
424,0.6218,455.42,25.42,69.08,64.54,0
425,0.6097,434.19,25.28,69.98,64.54,0
426,0.604,415.87,25.22,71.83,64.56,0
427,0.6061,409.53,25.36,69.26,64.54,0
428,0.6137,414.43,25.44,71.55,64.51,0
429,0.6235,415.87,25.29,71.57,64.44,0
430,0.6326,452.21,25.53,71.95,64.38,0
431,0.6386,465.2,25.46,70.63,64.4,0
432,0.641,442.23,25.43,70.84,64.48,0
433,0.641,437.31,25.49,70.45,64.51,0
434,0.6405,461.36,25.27,68.22,64.48,0
435,0.6416,448.85,25.35,71.74,64.47,0
436,0.6453,447.19,25.48,69.18,64.44,0
437,0.6501,445.35,25.58,75.88,64.48,0
438,0.654,436.34,25.46,72.39,64.52,0
439,0.6569,457.84,25.36,71.74,64.51,0
440,0.6602,468.76,25.23,75.9,64.54,0
441,0.6634,471.06,25.39,75.82,64.58,0
442,0.6638,474.96,25.42,72.9,64.64,0
443,0.6588,481.91,25.32,71.32,64.65,0
444,0.6494,467.04,25.26,73.44,64.71,0
445,0.6397,452.01,25.42,70.34,64.75,0
446,0.634,449.2,25.46,70.34,64.75,0
447,0.6337,440.14,25.28,70.2,64.74,0
448,0.6372,463.74,25.26,71.08,64.7,0
449,0.6419,446.38,25.45,73.71,64.73,0
450,0.6457,446.71,25.54,68.93,64.8,0
451,0.6478,443.68,25.47,73.66,64.83,0
452,0.6472,442.38,25.27,72.53,64.87,0
453,0.6427,458.25,25.61,69.32,64.89,0
454,0.6342,436.16,25.43,73.25,64.94,0
455,0.6241,447.55,25.43,71.29,64.91,0
456,0.6178,440.88,25.41,73.11,64.92,0
457,0.6204,462.5,25.48,73.09,64.9,0
458,0.6316,425.9,25.39,65.35,64.95,0
459,0.6459,476.95,25.39,71.86,64.9,0
460,0.657,459.26,25.37,71.61,64.95,0
461,0.6623,454.32,25.46,70.3,65.04,0
462,0.6642,457.1,25.22,73.53,65.08,0
463,0.6669,479.58,25.32,74.57,65.12,0
464,0.6728,469.97,25.3,70.94,65.14,0
465,0.6805,485.82,25.37,75.35,65.18,0
466,0.6851,473.33,25.55,71.61,65.2,0
467,0.6829,481.61,25.4,74.98,65.28,0
468,0.674,478.6,25.28,73.26,65.26,0
469,0.6623,472.46,25.29,72.45,65.31,0
470,0.6513,474.59,25.32,71.68,65.3,0
471,0.6426,453.83,25.43,70.81,65.35,0
472,0.6358,436.97,25.41,70.32,65.41,0
473,0.6312,448.75,25.44,69.99,65.42,0
474,0.6295,418.36,25.54,72.02,65.4,0
475,0.6316,433.84,25.42,68.49,65.37,0
476,0.6365,459.62,25.29,72.34,65.35,0
477,0.6419,456.13,25.43,69.01,65.32,0
478,0.6443,480.82,25.36,68.82,65.33,0
479,0.6421,458.95,25.37,73.72,65.38,0
480,0.6368,451.5,25.39,69.91,65.37,0
481,0.6331,451.06,25.6,66.87,65.32,0
482,0.6341,462.24,25.46,69.97,65.34,0
483,0.6372,449.98,25.38,72.93,65.32,0
484,0.6369,452.14,25.27,70.43,65.33,0
485,0.6311,427.81,25.36,69.79,65.3,0
486,0.6241,433.64,25.5,69.66,65.27,0
487,0.6223,419.19,25.37,68.27,65.29,0
488,0.6271,451.08,25.4,65.97,65.27,0
489,0.6339,452.07,25.35,71.35,65.27,0
490,0.6372,441.06,25.55,65.64,65.29,0
491,0.6364,459.23,25.47,71.5,65.29,0
492,0.6353,444.62,25.53,71.54,65.35,0
493,0.6374,445.22,25.37,70.41,65.34,0
494,0.643,438.37,25.39,72.76,65.34,0
495,0.6489,439,25.58,72.18,65.31,0
496,0.6512,456.12,25.4,74.5,65.3,0
497,0.6482,446.45,25.5,74.02,65.33,0
498,0.6404,463.59,25.33,71.04,65.34,0
499,0.6282,459.67,25.38,70.96,65.34,0
500,0.6105,409.57,25.4,68.7,65.34,0
501,0.5863,408.96,25.62,66.16,65.31,0
502,0.5553,381.13,25.42,65.95,65.24,0
503,0.5178,353.84,25.59,64.84,65.11,0
504,0.4752,314.06,25.41,64.61,65.05,0
505,0.4307,305.74,25.49,59.69,64.89,0
506,0.3895,271.73,25.43,55.27,64.73,0
507,0.3545,236.01,25.43,49.7,64.49,0
508,0.3238,224.35,25.33,50.76,64.26,0
509,0.2938,213.04,25.3,47.19,64,0
510,0.2635,192.07,25.3,48.92,63.74,0
511,0.2341,157.92,25.43,46.95,63.47,0
512,0.2078,156.05,25.59,42.49,63.2,0
513,0.1866,134.64,25.35,44.36,62.91,0
514,0.1727,117.87,25.43,42.68,62.54,0
515,0.1684,121.96,25.29,44.7,62.19,0
516,0.1736,117.54,25.52,45.09,61.83,0
517,0.1849,130.15,25.42,45.41,61.51,0
518,0.1964,148.21,25.48,45.14,61.2,0
519,0.2029,147.92,25.56,46.86,60.88,0
520,0.203,138.24,25.44,41.81,60.58,0
521,0.1986,135.65,25.61,45.93,60.27,0
522,0.1923,131.34,25.29,45.15,59.96,0
523,0.1853,126.18,25.48,50.11,59.65,0
524,0.1782,124.52,25.37,40.13,59.33,0
525,0.171,112.96,25.55,44.27,59.03,0
526,0.1641,102.26,25.54,39.48,58.69,0
527,0.1586,111.33,25.44,43.66,58.38,0
528,0.1552,107.64,25.4,39.26,58.11,0
529,0.1533,119.45,25.53,44.72,57.86,0
530,0.15,122.66,25.56,39.7,57.59,0
531,0.1427,107.22,25.54,37.98,57.32,0
532,0.1325,100.76,25.38,40.54,57,0
533,0.1247,86.73,25.44,39.47,56.68,0
534,0.1245,83.01,25.3,39.69,56.3,0
535,0.1317,97.59,25.68,41.54,55.93,0
536,0.1407,89.58,25.5,45.71,55.63,0
537,0.145,125.64,25.64,38.39,55.37,0
538,0.1419,86.17,25.56,42.8,55.06,0
539,0.1345,95.26,25.7,42.51,54.71,0
540,0.1283,108.87,25.39,42.38,54.4,0
541,0.1269,90.25,25.37,45.69,54.17,0
542,0.131,85.46,25.28,40.28,53.92,0
543,0.1392,101.36,25.57,38.53,53.66,0
544,0.1488,104.75,25.36,44.41,53.38,0
545,0.1566,104.73,25.38,39.39,53.16,0
546,0.1609,111.34,25.52,42.25,52.89,0
547,0.162,103.42,25.57,46.91,52.68,0
548,0.1607,105.12,25.45,42.28,52.46,0
549,0.1577,110.32,25.55,39.24,52.22,0
550,0.1542,97.91,25.34,41.21,51.94,0
551,0.1515,94.03,25.52,39.68,51.69,0
552,0.1512,116.29,25.48,46.07,51.44,0
553,0.1535,113.72,25.54,38.84,51.28,0
554,0.1579,116.18,25.33,44.98,51.1,0
555,0.1634,113.69,25.46,41.39,50.84,0
556,0.1697,124.78,25.46,46.41,50.62,0
557,0.176,115.44,25.41,46.03,50.41,0
558,0.1806,121.73,25.55,43.44,50.2,0
